PRODUCTO,CANTIDAD,ENTRADA/SALIDA,CONCEPTO,DOCUMENTO,STATUS,CADENA,FECHA DE ENVIO/RECEPCION,GRUPO,COSTO UNIT,MES,A¥O
TENEDOR 2 PUNTAS EXTRA LARGO,6,ENTRADA,COMPRA,P03829,STOCK,NORDITALIA,19/02/2024,UTENSILIOS,16.59,2,2024
PINZA DE HIELO,4000,ENTRADA,COMPRA,P03840,STOCK,NORDITALIA,19/02/2024,UTENSILIOS,7,2,2024
EXPRIMIDOR,960,ENTRADA,COMPRA,P03823,STOCK,NORDITALIA,19/02/2024,UTENSILIOS,6,2,2024
JUEGO DE 2 COLADERAS CH Y MD,1800,ENTRADA,COMPRA,P03865,STOCK,NORDITALIA,28/02/2024,COCINA,7.1,2,2024
MATAMOSCAS PLASTICO,2320,ENTRADA,COMPRA,P03865,STOCK,NORDITALIA,08/03/2024,HOGAR,2.25,2,2024
PINZA PARA ROPA 30 PZAS,2900,ENTRADA,COMPRA,P03865,STOCK,NORDITALIA,29/02/2024,HOGAR,6.9,2,2024
MATAMOSCAS PLASTICO,680,ENTRADA,COMPRA,P03865,STOCK,NORDITALIA,19/02/2024,HOGAR,2.25,2,2024
PINZA PARA ROPA 30 PZAS,482,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,20/02/2024,HOGAR,6.9,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,1500,ENTRADA,COMPRA,P03860,STOCK,TREVI¥O,29/02/2024,AUTOS,19.9,2,2024
CESTO CALADO,2850,ENTRADA,COMPRA,P03863,STOCK,PEONIA DE SAN LUIS,22/02/2024,LIMPIEZA,8.2,2,2024
"CUCHILLO DE COCINA MANGO MADERA 7""",3840,ENTRADA,COMPRA,P03864,STOCK,CENTRO,23/02/2024,UTENSILIOS,7.482717542,2,2024
SILLA DE RUEDAS IMPORTADA,70,ENTRADA,COMPRA,P03867,STOCK,DMH,21/02/2024,ORTOPEDIA,999,2,2024
PINZA DE HIELO,2000,ENTRADA,COMPRA,P03868,STOCK,SERVICIOS INDUSTRIALES,29/02/2024,UTENSILIOS,7,2,2024
CUBREBOCAS TRICAPA INFANTIL AZUL,11000,ENTRADA,COMPRA,P03869,STOCK,CENTRO,21/02/2024,ORTOPEDIA,0.58,2,2024
TABLA CUADRADA 20X30,360,ENTRADA,COMPRA,P03819,STOCK,JUAN CARLOS SAVEEDRA,21/02/2024,COCINA,15.55,2,2024
CORTINA METALICA FIESTA,10800,ENTRADA,COMPRA,P03877,STOCK,CENTRO,23/02/2024,FIESTA,7,2,2024
MANTEL TABLON LISO,8400,ENTRADA,COMPRA,P03878,STOCK,CENTRO,21/02/2024,FIESTA,9,2,2024
BANNER FELIZ CUMPLEA¥OS,7200,ENTRADA,COMPRA,P03879,STOCK,CENTRO,01/03/2024,FIESTA,12,2,2024
VELA MAGICA 10 PZAS,15000,ENTRADA,COMPRA,P03880,STOCK,CENTRO,23/02/2024,FIESTA,4,2,2024
MARCO 4X6 PLANA 2,750,ENTRADA,COMPRA,P03882,STOCK,BELLO,17/04/2024,MARCOS,6.36,2,2024
MARCO 5X7 PLANA 2,40,ENTRADA,COMPRA,P03882,STOCK,BELLO,26/04/2024,MARCOS,6.94,2,2024
MARCO 6X8 PLANA 2,400,ENTRADA,COMPRA,P03882,STOCK,BELLO,17/04/2024,MARCOS,7.49,2,2024
MARCO 4X6 PLANA 3,300,ENTRADA,COMPRA,P03882,STOCK,BELLO,17/04/2024,MARCOS,9.72,2,2024
MARCO 5X7 PLANA 3,100,ENTRADA,COMPRA,P03882,STOCK,BELLO,26/04/2024,MARCOS,11.42,2,2024
MARCO 6X8 PLANA 3,500,ENTRADA,COMPRA,P03882,STOCK,BELLO,17/04/2024,MARCOS,11.74,2,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03914,STOCK,CECILIA FARAH,21/02/2024,AUTOS,271,2,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03914,STOCK,CECILIA FARAH,21/02/2024,AUTOS,271,2,2024
CAJA 20 PZAS MICROFIBRA 3B,180,ENTRADA,COMPRA,P03914,STOCK,CECILIA FARAH,22/02/2024,AUTOS,271,2,2024
BOLSA REGALO DECORADA MEDIANA,36,ENTRADA,COMPRA,P03884,STOCK,CENTRO,29/02/2024,FIESTA,8.33,2,2024
BOLSA REGALO DECORADA GRANDE,36,ENTRADA,COMPRA,P03884,STOCK,CENTRO,29/02/2024,FIESTA,10,2,2024
BOLSA REGALO DECORADA CHICA,12,ENTRADA,COMPRA,P03884,STOCK,CENTRO,29/02/2024,FIESTA,6.67,2,2024
CONTENEDOR E  -LT1B028,7056,ENTRADA,COMPRA,P03889,STOCK,VACA,01/03/2024,CONTENEDORES,4.3,2,2024
TAPA R-110,14000,ENTRADA,COMPRA,P03889,STOCK,VACA,11/03/2024,CONTENEDORES,1.1,2,2024
CONTENEDOR D - LT1B059,9440,ENTRADA,COMPRA,P03890,STOCK,LUIN,18/04/2024,CONTENEDORES,5.1,2,2024
CONTENEDOR F-LV1B041,10017,ENTRADA,COMPRA,P03890,STOCK,LUIN,04/04/2024,CONTENEDORES,6.44,2,2024
RUEDA PORTAMACETA S/FRENO,1500,ENTRADA,COMPRA,P03892,STOCK,BUCHELI,07/03/2024,INSUMOS,11.63,2,2024
RUEDA PORTAMACETA C/FRENO,1500,ENTRADA,COMPRA,P03892,STOCK,BUCHELI,07/03/2024,INSUMOS,12.65,2,2024
BASTON ALEMAN GRIS,500,ENTRADA,COMPRA,P03894,STOCK,JORGE ZARAGOZA,11/03/2024,ORTOPEDIA,30,2,2024
ANDADERA FIJA ESMALTADA,100,ENTRADA,COMPRA,P03894,STOCK,JORGE ZARAGOZA,11/03/2024,ORTOPEDIA,258.5,2,2024
COLLARIN MEDIANO,200,ENTRADA,COMPRA,P03895,STOCK,EDIGGAR,07/03/2024,ORTOPEDIA,39.77,2,2024
COLLARIN GRANDE,50,ENTRADA,COMPRA,P03895,STOCK,EDIGGAR,07/03/2024,ORTOPEDIA,39.77,2,2024
TABLA CUADRADA 20X30,500,ENTRADA,COMPRA,P03896,STOCK,JUAN CARLOS SAVEEDRA,29/02/2024,COCINA,15.55,2,2024
CORTINA METALICA FIESTA,3000,ENTRADA,COMPRA,P03898,STOCK,CENTRO,29/02/2024,FIESTA,7,2,2024
LETRERO FELIZ CUMPLEA¥OS GLOBO,3000,ENTRADA,COMPRA,P03899,STOCK,CENTRO,29/02/2024,FIESTA,10,2,2024
BANNER FELIZ CUMPLEA¥OS,8400,ENTRADA,COMPRA,P03901,STOCK,CENTRO,27/02/2024,FIESTA,12,2,2024
MANTEL TABLON LISO,12000,ENTRADA,COMPRA,P03902,STOCK,CENTRO,27/02/2024,FIESTA,9,2,2024
PINZA DE HIELO,8000,ENTRADA,COMPRA,P03868,STOCK,SERVICIOS INDUSTRIALES,23/02/2024,UTENSILIOS,7,2,2024
CONTENEDOR F-LV1B041,6930,ENTRADA,COMPRA,P03591,STOCK,LUIN,23/02/2024,CONTENEDORES,6.44,1,2024
BASTON ALEMAN GRIS,250,ENTRADA,COMPRA,P03801,STOCK,JORGE ZARAGOZA,23/02/2024,ORTOPEDIA,30,2,2024
BASTON 4 APOYOS GRIS,100,ENTRADA,COMPRA,P03801,STOCK,JORGE ZARAGOZA,23/02/2024,ORTOPEDIA,93.5,2,2024
CAJA 20 PZAS MICROFIBRA 3B,823,ENTRADA,COMPRA,P03914,STOCK,CECILIA FARAH,23/02/2024,AUTOS,271,2,2024
EXPRIMIDOR,960,ENTRADA,COMPRA,P03919,STOCK,NORDITALIA,24/02/2024,UTENSILIOS,6,2,2024
EXPRIMIDOR,240,ENTRADA,COMPRA,P03919,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,6,2,2024
PINZA DE HIELO,5600,ENTRADA,COMPRA,P03904,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,7,2,2024
PINZA DE HIELO,2400,ENTRADA,COMPRA,P03904,STOCK,NORDITALIA,24/02/2024,UTENSILIOS,7,2,2024
MATAMOSCAS PLASTICO,3000,ENTRADA,COMPRA,P03865,STOCK,NORDITALIA,24/02/2024,HOGAR,2.25,2,2024
PINZA PARA ROPA 30 PZAS,3822,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,24/02/2024,HOGAR,6.9,1,2024
MARCO 4X6 PLANA 2,40,ENTRADA,COMPRA,P03780,STOCK,BELLO,23/02/2024,MARCOS,6.36,2,2024
MARCO 4X6 PLANA 3,150,ENTRADA,COMPRA,P03780,STOCK,BELLO,23/02/2024,MARCOS,9.72,2,2024
MARCO 5X7 PLANA 3,100,ENTRADA,COMPRA,P03780,STOCK,BELLO,23/02/2024,MARCOS,11.42,2,2024
MARCO 6X8 PLANA 3,400,ENTRADA,COMPRA,P03780,STOCK,BELLO,23/02/2024,MARCOS,11.74,2,2024
"GLOBO METALICO NUMERO 0 DE 32""",1000,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 1 DE 32""",1000,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 2 DE 32""",800,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 3 DE 32""",800,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 4 DE 32""",1000,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 5 DE 32""",800,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 6 DE 32""",800,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 7 DE 32""",1000,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 8 DE 32""",800,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 9 DE 32""",1000,ENTRADA,COMPRA,P03903,STOCK,CENTRO,29/02/2024,FIESTA,4.8,2,2024
PINZA DE HIELO,6000,ENTRADA,COMPRA,P03905,STOCK,SERVICIOS INDUSTRIALES,29/02/2024,UTENSILIOS,7,2,2024
RESPALDO 4X6 A 2 CM,500,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,02/03/2024,RESPALDOS,6.39,2,2024
RESPALDO 5X7 A 2 CM,150,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,06/03/2024,RESPALDOS,7.72,2,2024
RESPALDO 6X8 A 2 CM,160,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,02/03/2024,RESPALDOS,8.83,2,2024
MARCO 40X45 PLANA 2,50,ENTRADA,COMPRA,P03907,STOCK,BELLO,14/03/2024,MARCOS,11.34,2,2024
BOMBA PARA INFLAR 10-9030,100,ENTRADA,COMPRA,P03910,STOCK,CENTRO,29/02/2024,BICICLETAS,58.5,2,2024
CUCHARA DE MADERA,306,ENTRADA,COMPRA,P03910,STOCK,CENTRO,29/02/2024,UTENSILIOS,5.5,2,2024
"GLOBO METALICO NUMERO 0 DE 16""",400,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 1 DE 16""",1800,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 2 DE 16""",1400,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 3 DE 16""",1800,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 4 DE 16""",1500,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 5 DE 16""",1500,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 6 DE 16""",1000,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 7 DE 16""",800,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 8 DE 16""",600,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 9 DE 16""",400,ENTRADA,COMPRA,P03912,STOCK,CENTRO,01/03/2024,FIESTA,2.5,2,2024
LENTE SENCILLO DE 1.25,1200,ENTRADA,COMPRA,P03913,STOCK,YIBA,29/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.25,1200,ENTRADA,COMPRA,P03913,STOCK,YIBA,29/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.50,3600,ENTRADA,COMPRA,P03913,STOCK,YIBA,29/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 3.00,600,ENTRADA,COMPRA,P03913,STOCK,YIBA,29/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 3.50,1200,ENTRADA,COMPRA,P03913,STOCK,YIBA,29/02/2024,LENTE,7,2,2024
MARCO 4X6 PLANA 2,600,ENTRADA,COMPRA,P03915,STOCK,BELLO,05/04/2024,MARCOS,6.36,2,2024
MARCO 5X7 PLANA 2,50,ENTRADA,COMPRA,P03915,STOCK,BELLO,05/04/2024,MARCOS,6.94,2,2024
MARCO 6X8 PLANA 2,50,ENTRADA,COMPRA,P03915,STOCK,BELLO,05/04/2024,MARCOS,7.49,2,2024
ANDADERA RECIPROCA ALUMINIO,30,ENTRADA,COMPRA,P03916,STOCK,JORGE ZARAGOZA,11/03/2024,ORTOPEDIA,270,2,2024
CESTO CALADO,600,ENTRADA,COMPRA,P03917,STOCK,PEONIA DE SAN LUIS,29/02/2024,LIMPIEZA,8.2,2,2024
JUEGO DE 2 COLADERAS CH Y MD,600,ENTRADA,COMPRA,P03918,STOCK,NORDITALIA,09/03/2024,COCINA,7.1,2,2024
MATAMOSCAS PLASTICO,320,ENTRADA,COMPRA,P03918,STOCK,NORDITALIA,12/03/2024,HOGAR,2.25,2,2024
PINZA PARA ROPA 30 PZAS,600,ENTRADA,COMPRA,P03918,STOCK,NORDITALIA,28/03/2024,HOGAR,6.9,2,2024
RODILLO,1022,ENTRADA,COMPRA,P03920,STOCK,MANZANARES,08/03/2024,COCINA,17,2,2024
ENCENDEDOR RIGIDO,40000,ENTRADA,COMPRA,P03921,STOCK,VILCHES,07/03/2024,COCINA,6.47,2,2024
MARCO 8X10 PLANA 2,600,ENTRADA,COMPRA,P03922,STOCK,BELLO,05/04/2024,MARCOS,7.7,2,2024
RESPALDO 8X10 A 2 CM,600,ENTRADA,COMPRA,P03923,STOCK,CRISTIAN ARTURO BARCENAS,01/03/2024,RESPALDOS,11.61,2,2024
MARCO 4X6 MOLDURA 38,420,ENTRADA,COMPRA,P03924,STOCK,MAS MARCOS,08/04/2024,MARCOS,18.48,2,2024
MARCO 5X7 MOLDURA 38,490,ENTRADA,COMPRA,P03924,STOCK,MAS MARCOS,08/04/2024,MARCOS,19.97,2,2024
MARCO 6X8 MOLDURA 38,420,ENTRADA,COMPRA,P03924,STOCK,MAS MARCOS,08/04/2024,MARCOS,23.84,2,2024
MARCO 21.5X28 MOLDURA 38 NEGRO,500,ENTRADA,COMPRA,P03926,STOCK,MAS MARCOS,08/04/2024,MARCOS,29.17,2,2024
MARCO 21.5X28 MOLDURA 38 CHOCOLATE,500,ENTRADA,COMPRA,P03926,STOCK,MAS MARCOS,08/04/2024,MARCOS,29.17,2,2024
MARCO 8X10 MOLDURA 5,350,ENTRADA,COMPRA,P03927,STOCK,MAS MARCOS,18/04/2024,MARCOS,49.21,2,2024
MARCO 4X6 MOLDURA 4,500,ENTRADA,COMPRA,P03928,STOCK,MAS MARCOS,24/04/2024,MARCOS,19.75,2,2024
MARCO 5X7 MOLDURA 4,500,ENTRADA,COMPRA,P03928,STOCK,MAS MARCOS,24/04/2024,MARCOS,28.67,2,2024
MARCO 6X8 MOLDURA 4,550,ENTRADA,COMPRA,P03928,STOCK,MAS MARCOS,24/04/2024,MARCOS,33.36,2,2024
CUCHARA SOPERA ACERO,15600,ENTRADA,COMPRA,P03934,STOCK,PEONIA DE SAN LUIS,29/02/2024,UTENSILIOS,1.08,2,2024
BOMBA PARA INFLAR 10-9030,100,ENTRADA,COMPRA,P03936,STOCK,CENTRO,29/02/2024,BICICLETAS,58.5,2,2024
CANDADO PARA BICICLETA 60CM,100,ENTRADA,COMPRA,P03936,STOCK,CENTRO,29/02/2024,BICICLETAS,38,2,2024
CUCHARA LISA NYLON,2500,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,08/03/2024,UTENSILIOS,4.6,2,2024
CUCHARA PARA SPAGHETTI NYLON,1600,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,4.6,2,2024
CUCHARA RANURADA NYLON,500,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,4.6,2,2024
CUCHARON NYLON,1000,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,05/04/2024,UTENSILIOS,4.6,2,2024
MACHACADOR NYLON,1400,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,03/04/2024,UTENSILIOS,4.6,2,2024
VOLTEADOR RECTO NYLON,3100,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,22/03/2024,UTENSILIOS,4.6,2,2024
VOLTEADOR ABANICO NYLON,2500,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,4.6,2,2024
VELA MAGICA NUMERO 5,2000,ENTRADA,COMPRA,P03944,STOCK,CENTRO,09/03/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 6,3000,ENTRADA,COMPRA,P03944,STOCK,CENTRO,09/03/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 7,3000,ENTRADA,COMPRA,P03944,STOCK,CENTRO,09/03/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 8,3000,ENTRADA,COMPRA,P03944,STOCK,CENTRO,09/03/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 9,3000,ENTRADA,COMPRA,P03944,STOCK,CENTRO,09/03/2024,FIESTA,4.2,2,2024
BOLSA AL VACIO PARA ROPA 60X80,144,ENTRADA,COMPRA,P03946,STOCK,CENTRO,12/03/2024,MERCADO LIBRE,14,2,2024
BOLSA AL VACIO PARA ROPA 90X120,144,ENTRADA,COMPRA,P03946,STOCK,CENTRO,12/03/2024,MERCADO LIBRE,26,2,2024
GLOBO CORAZON,1200,ENTRADA,COMPRA,P03947,STOCK,CENTRO,06/03/2024,FIESTA,4,2,2024
CONTENEDOR E  -LT1B028,1680,ENTRADA,COMPRA,P03948,STOCK,VACA,11/03/2024,CONTENEDORES,4.3,2,2024
TABLA BOTANERA 25X30,24,ENTRADA,COMPRA,P03950,STOCK,JUAN CARLOS SAVEEDRA,29/02/2024,COCINA,25.6,2,2024
PINZA PARA ROPA 30 PZAS,41,ENTRADA,COMPRA,P03765,STOCK,NORDITALIA,29/02/2024,HOGAR,6.9,2,2024
MUSLERA,200,ENTRADA,COMPRA,P03884,STOCK,CENTRO,29/02/2024,ORTOPEDIA,16,2,2024
TOPPER CAKE,1200,ENTRADA,COMPRA,P03900,STOCK,CENTRO,29/02/2024,FIESTA,5,2,2024
MOLCAJETE,110,ENTRADA,COMPRA,P03949,STOCK,VIRIDIANA,05/03/2024,COCINA,105,2,2024
EXPRIMIDOR,3840,ENTRADA,COMPRA,P03919,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,6,2,2024
RESPALDO 4X6 A 3 CM,1000,ENTRADA,COMPRA,P03955,STOCK,CRISTIAN ARTURO BARCENAS,23/03/2024,RESPALDOS,6.39,2,2024
RESPALDO 5X7 A 3 CM,1000,ENTRADA,COMPRA,P03955,STOCK,CRISTIAN ARTURO BARCENAS,23/03/2024,RESPALDOS,7.72,2,2024
RESPALDO 6X8 A 3 CM,800,ENTRADA,COMPRA,P03955,STOCK,CRISTIAN ARTURO BARCENAS,23/03/2024,RESPALDOS,8.83,2,2024
RESPALDO 4X6 A 2 CM,500,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,01/03/2024,RESPALDOS,6.39,2,2024
RESPALDO 6X8 A 2 CM,840,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,01/03/2024,RESPALDOS,8.83,2,2024
RESPALDO 6X8 A 3 CM,200,ENTRADA,COMPRA,P03955,STOCK,CRISTIAN ARTURO BARCENAS,01/03/2024,RESPALDOS,8.83,2,2024
EXPRIMIDOR,4080,ENTRADA,COMPRA,P03951,STOCK,NORDITALIA,08/03/2024,UTENSILIOS,6,3,2024
PINZA DE HIELO,2400,ENTRADA,COMPRA,P03952,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,7,3,2024
PINZA DE HIELO,12000,ENTRADA,COMPRA,P03953,STOCK,NORDITALIA,11/03/2024,UTENSILIOS,7,3,2024
LENTE DE SOL MUJER,990,ENTRADA,COMPRA,P03954,STOCK,CENTRO LENTE,09/03/2024,LENTE,10.5,3,2024
LENTE DE PLUMA 1.00,32,ENTRADA,COMPRA,P03956,STOCK,CENTRO LENTE,09/03/2024,LENTE,16,3,2024
LENTE DE PLUMA 1.50,16,ENTRADA,COMPRA,P03956,STOCK,CENTRO LENTE,09/03/2024,LENTE,16,3,2024
LENTE DE PLUMA 1.75,32,ENTRADA,COMPRA,P03956,STOCK,CENTRO LENTE,09/03/2024,LENTE,16,3,2024
LENTE DE PLUMA 2.50,32,ENTRADA,COMPRA,P03956,STOCK,CENTRO LENTE,09/03/2024,LENTE,16,3,2024
LENTE DE PLUMA 2.75,56,ENTRADA,COMPRA,P03956,STOCK,CENTRO LENTE,09/03/2024,LENTE,16,3,2024
BASTON 4 APOYOS GRIS,14,ENTRADA,COMPRA,P03957,STOCK,JORGE ZARAGOZA,05/04/2024,ORTOPEDIA,93.5,3,2024
BASTON 4 APOYOS GRIS,100,ENTRADA,COMPRA,P03957,STOCK,JORGE ZARAGOZA,15/03/2024,ORTOPEDIA,93.5,3,2024
CONTENEDOR E  -LT1B028,2772,ENTRADA,COMPRA,P03959,STOCK,VACA,15/03/2024,CONTENEDORES,4.3,3,2024
TAPA R-110,10000,ENTRADA,COMPRA,P03959,STOCK,VACA,15/03/2024,CONTENEDORES,1.1,3,2024
CONTENEDOR D - LT1B059,15040,ENTRADA,COMPRA,P03960,STOCK,LUIN,18/04/2024,CONTENEDORES,5.1,3,2024
CONTENEDOR F-LV1B041,8400,ENTRADA,COMPRA,P03960,STOCK,LUIN,04/04/2024,CONTENEDORES,6.44,3,2024
MARCO 21.5X28 MOLDURA 4,760,ENTRADA,COMPRA,P03824,STOCK,MAS MARCOS,01/03/2024,MARCOS,30.73,2,2024
EXPRIMIDOR,960,ENTRADA,COMPRA,P03951,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,6,3,2024
CUCHARA LISA NYLON,2000,ENTRADA,COMPRA,P03937,STOCK,NORDITALIA,01/03/2024,UTENSILIOS,4.6,2,2024
TAPA R-110,26000,ENTRADA,COMPRA,P03889,STOCK,VACA,01/03/2024,CONTENEDORES,1.1,2,2024
RESPALDO 5X7 A 2 CM,850,ENTRADA,COMPRA,P03906,STOCK,CRISTIAN ARTURO BARCENAS,02/03/2024,RESPALDOS,7.72,2,2024
MARCO 30X40 PLANA 2,190,ENTRADA,COMPRA,P03962,STOCK,BELLO,27/03/2024,MARCOS,9.14,3,2024
MARCO 25X25 PLANA 2,200,ENTRADA,COMPRA,P03962,STOCK,BELLO,14/03/2024,MARCOS,8.82,3,2024
MARCO 20X20 PLANA 2,200,ENTRADA,COMPRA,P03962,STOCK,BELLO,27/03/2024,MARCOS,7.83,3,2024
RESPALDO 5X7 A 2 CM,600,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,04/03/2024,RESPALDOS,7.72,2,2024
BANNER FELIZ CUMPLEA¥OS,5000,ENTRADA,COMPRA,P03964,STOCK,CENTRO,26/03/2024,FIESTA,12,3,2024
GABINETE CHOCOLATE 30X40,600,ENTRADA,COMPRA,P03965,STOCK,MANZANARES,08/03/2024,HOGAR,26,3,2024
BURBUJAS BASTON GRANDE 125ML,288,ENTRADA,COMPRA,P03966,STOCK,CENTRO,12/03/2024,OTROS,7.92,3,2024
MINI BOMBA AIRE ALUMINIO,100,ENTRADA,COMPRA,P03966,STOCK,CENTRO,12/03/2024,BICICLETAS,52,3,2024
CANDADO PARA BICICLETA 90CM,240,ENTRADA,COMPRA,P03967,STOCK,SILVERLINE,11/03/2024,BICICLETAS,27.9,3,2024
CONTENEDOR A - LT1B035,5040,ENTRADA,COMPRA,P03968,STOCK,ENVASES UNIVERSALES,09/04/2024,CONTENEDORES,8.85,3,2024
TABLA CUADRADA 20X30,800,ENTRADA,COMPRA,P03969,STOCK,JUAN CARLOS SAVEEDRA,11/03/2024,COCINA,15.55,3,2024
TABLA CUADRADA 25X30,500,ENTRADA,COMPRA,P03969,STOCK,JUAN CARLOS SAVEEDRA,22/03/2024,COCINA,25.2,3,2024
TABLA PALETA 20X35,250,ENTRADA,COMPRA,P03969,STOCK,JUAN CARLOS SAVEEDRA,11/03/2024,COCINA,19.45,3,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,1500,ENTRADA,COMPRA,P03970,STOCK,TREVI¥O,14/03/2024,AUTOS,19.9,3,2024
PINZA DE HIELO,8000,ENTRADA,COMPRA,P03971,STOCK,SERVICIOS INDUSTRIALES,11/03/2024,UTENSILIOS,7,3,2024
ASADOR NORTE¥O,100,ENTRADA,COMPRA,P03971,STOCK,SERVICIOS INDUSTRIALES,11/03/2024,COCINA,40.55,3,2024
"GLOBO METALICO NUMERO 0 DE 16""",1600,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 1 DE 16""",3000,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 2 DE 16""",2100,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 3 DE 16""",1900,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 4 DE 16""",1600,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 5 DE 16""",2300,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 6 DE 16""",1800,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 7 DE 16""",2200,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
"GLOBO METALICO NUMERO 8 DE 16""",1700,ENTRADA,COMPRA,P03972,STOCK,CENTRO,06/03/2024,FIESTA,2.5,3,2024
